sha,date,chrome-version,chrome,firefox-version,firefox,safari-version,safari
2d0250896ebe871e950ac6c4c8acfa3ec7d5c72d,2018-06-04,67.0.3396.62,401.6036349408619,60.0.1,1362.7108077003093,11.0,3764.9040928735317
fdcd7c0ec4af45eb08402d13fbfd1505761be169,2018-06-16,67.0.3396.87,432.9213006865307,60.0.2,1472.750095821676,11.1,3392.1517283335397
ab2182ad1005c11556cf3c0c1ee063d57d13f63e,2018-06-17,67.0.3396.87,432.81042452988174,60.0.2,1477.129952644747,11.1,3401.012702058812
27406c9d238ac80c43bb62e87cd0305f59294527,2018-07-01,67.0.3396.99,395.7962360662111,61.0,1310.6470777025152,11.1,3659.4836971109357
6e559a60ecfa38ad6cc434911dd0995a63900db6,2018-07-04,67.0.3396.99,396.5778463522814,61.0,1314.6423491837963,11.1,3655.8226014861552
6562ed003eebcd25d093ae52d68de28a0ae0d786,2018-07-05,67.0.3396.99,396.02594853790436,61.0,1304.802453978972,11.1,3653.180928359586
9f00a60d91ba84e52dac35d6e08da2050774811d,2018-07-06,67.0.3396.99,398.1320728057935,61.0.1,1306.880345503025,11.1,3649.2363976968973
15224088a20d1dfb8a85bfe907f3439abcd098c3,2018-07-07,67.0.3396.99,399.81908675223224,61.0.1,1310.2748590807662,11.1,3660.523569030011
7400064b74cfdd7c1a81d0de38e2846b44af77fc,2018-07-08,67.0.3396.99,396.885752459473,61.0.1,1302.1350551910061,11.1,3649.8761091170245
172489943de49dde6b3aa9d5d5ce5e6cc3cbd6e9,2018-07-09,67.0.3396.99,398.4301969039174,61.0.1,1314.4745715956542,11.1,3657.1682989856745
d423033c8bc00a812698819d6fc22eb96c210d00,2018-07-10,67.0.3396.99,395.44788630086373,61.0.1,1304.2502860512604,11.1,3649.979850708704
8fea122cf1ed5b392c86aae5e445e7553ad83deb,2018-07-11,67.0.3396.99,397.85017652629546,61.0.1,1302.7867104081015,11.1,3650.1215791927816
b7f4f1d1ea5708bfb7578090f19c75dcf21cbef2,2018-07-12,67.0.3396.99,398.5351605518545,61.0.1,1313.321296447816,11.1,3651.5049749853165
9e4a93afa661c4a6ecb39ce810fcc77d73cd6405,2018-07-13,67.0.3396.99,397.4088773992555,61.0.1,1317.5341098924087,11.1,3655.334503189383
255adeaa04cd95bb3ccb2ff8922885151f2dc882,2018-07-14,67.0.3396.99,400.25350799388616,61.0.1,1315.854855108806,11.1,3658.7572252577575
59fa23d519b9d6ef0892170ba86ef0b9aee6ad24,2018-07-15,67.0.3396.99,396.87448701486517,61.0.1,1314.063342828696,11.1,3659.6448727163156
f582e7ad3b06d37fa65957aa93dc62bf7429e803,2018-07-16,67.0.3396.99,398.9504776908559,61.0.1,1323.3675041328572,11.1,3661.5735591364537
df5392444342a1c00422096a2febb9ceb0edf250,2018-07-17,67.0.3396.99,395.7975083836438,61.0.1,1321.5468395712035,11.1,3655.187356209316
085d47ef10ac636e73fe04e5c232046b329aa382,2018-07-18,67.0.3396.99,398.5767898555973,61.0.1,1311.023615133354,11.1,3658.509386327594
996712754849a80d37371f01e749b06d2a34a7fc,2018-07-19,67.0.3396.99,397.83591010529256,61.0.1,1316.774495328279,11.1,3663.348568011239
013e509d9a80f47443664a4db86a6fbb1176093c,2018-07-20,67.0.3396.99,402.5873284972836,61.0.1,1316.9636969573874,11.1,3653.6056417509462
20f298166ae152660df1f3ac17b3239f93dcb113,2018-07-21,67.0.3396.99,407.835123632758,61.0.1,1314.467652537619,11.1,3659.0149839985847
36711c4fbafa1d61edb0fca0669422ffcae3a0ce,2018-07-22,67.0.3396.99,404.31032347320905,61.0.1,1322.765190868865,11.1,3663.259251328687
